Designator,Mid X,Mid Y,Layer,Rotation
C1,127.0285mm,90.6562mm,Top,0
C2,143.5970mm,97.2840mm,Top,90
C3,111.4030mm,99.3780mm,Top,270
C4,149.3120mm,94.4300mm,Top,90
C5,105.6880mm,102.2320mm,Top,270
C6,142.2682mm,93.1187mm,Top,90
C7,112.7318mm,103.5432mm,Top,270
C8,146.5580mm,101.7484mm,Top,270
C9,146.5578mm,98.9115mm,Top,90
C10,108.4420mm,94.9136mm,Top,90
C11,108.4422mm,97.7505mm,Top,270
C12,141.1501mm,105.4645mm,Top,180
C13,141.1395mm,107.4964mm,Top,180
C14,140.7691mm,103.7766mm,Top,180
C15,113.8603mm,89.1655mm,Top,0
C16,113.8499mm,91.1975mm,Top,0
C17,114.2309mm,92.8854mm,Top,0
C18,136.0050mm,95.3714mm,Top,90
C19,117.9699mm,103.5176mm,Top,90
C20,137.5935mm,103.7766mm,Top,0
C21,117.4063mm,92.8853mm,Top,180
C22,134.9611mm,99.0848mm,Top,90
C23,120.0390mm,97.5770mm,Top,270
D1,135.5998mm,81.9150mm,Top,270
D2,148.1457mm,88.3780mm,Top,180
D3,106.8543mm,108.2840mm,Top,0
F1,133.1098mm,88.9762mm,Top,0
J1,127.5000mm,82.3775mm,Top,0
LED1,144.1906mm,115.9136mm,Top,90
LED2,110.8094mm,115.9136mm,Top,90
LED3,136.4474mm,115.9136mm,Top,90
LED4,118.5526mm,115.9136mm,Top,90
R1,125.8138mm,88.5744mm,Top,90
R2,145.7957mm,93.9061mm,Top,0
R3,109.2042mm,102.7558mm,Top,180
R4,145.8086mm,92.3821mm,Top,0
R5,109.1913mm,104.2798mm,Top,180
R6,143.5969mm,93.1442mm,Top,90
R7,111.4030mm,103.5178mm,Top,270
R8,144.2847mm,90.9180mm,Top,0
R9,110.7153mm,105.7440mm,Top,180
R10,140.9584mm,93.1444mm,Top,270
R11,114.0414mm,103.5177mm,Top,90
R12,139.6467mm,93.1442mm,Top,270
R13,115.3531mm,103.5178mm,Top,90
R14,138.3384mm,93.1443mm,Top,270
R15,116.6615mm,103.5177mm,Top,90
R16,131.5320mm,100.6380mm,Top,90
R17,123.2140mm,96.0240mm,Top,270
RT1,134.5967mm,95.3714mm,Top,90
RT2,120.0390mm,101.0290mm,Top,270
TP1,132.5880mm,107.1900mm,Top,0
TP2,120.0898mm,106.4009mm,Top,180
TP3,132.5880mm,109.6921mm,Top,0
TP4,120.0898mm,103.8609mm,Top,180
U1,127.8152mm,87.8920mm,Top,270
U2,154.3870mm,98.3310mm,Top,90
U3,100.6130mm,98.3310mm,Top,270
U4,139.1050mm,99.8240mm,Top,270
U5,115.8950mm,96.8380mm,Top,90
