Designator,Mid X,Mid Y,Layer,Rotation
C1,90.8836mm,120.8336mm,Bottom,0
C2,90.8836mm,118.5730mm,Bottom,0
C3,90.8836mm,116.2616mm,Bottom,0
C4,91.1376mm,112.8536mm,Bottom,0
C5,97.9678mm,115.0366mm,Bottom,90
C6,105.2846mm,95.1548mm,Bottom,0
C7,106.4526mm,119.1122mm,Bottom,90
C8,110.3896mm,119.1122mm,Bottom,90
C9,110.3896mm,124.3388mm,Bottom,270
C10,92.0747mm,98.9572mm,Bottom,180
C11,106.4526mm,124.3388mm,Bottom,270
C12,117.5802mm,123.8308mm,Bottom,270
C13,92.7100mm,95.5826mm,Bottom,270
C14,80.5434mm,115.6122mm,Bottom,180
C15,80.5434mm,113.5167mm,Bottom,180
C16,80.5434mm,111.9292mm,Bottom,180
C17,116.3066mm,106.3498mm,Bottom,180
C18,116.3066mm,103.0732mm,Bottom,180
C19,116.0272mm,99.2124mm,Bottom,180
C20,83.5740mm,106.2609mm,Bottom,0
C21,104.6734mm,102.9970mm,Bottom,270
C22,80.5434mm,110.2782mm,Bottom,180
C23,119.7356mm,81.6610mm,Bottom,90
C24,100.5586mm,95.1548mm,Bottom,0
C25,101.0666mm,89.2683mm,Bottom,0
C26,108.5088mm,69.3984mm,Bottom,0
C27,94.9960mm,77.8740mm,Bottom,270
C28,82.7278mm,80.1116mm,Bottom,270
C29,78.2320mm,100.9396mm,Bottom,180
D1,95.2500mm,111.6330mm,Bottom,270
D2,95.2500mm,118.6336mm,Bottom,270
D3,100.6856mm,111.6330mm,Bottom,270
D4,100.6856mm,118.6336mm,Bottom,270
D5,92.5174mm,67.3001mm,Top,0
D6,123.1646mm,106.6546mm,Bottom,270
D7,79.2480mm,104.9528mm,Bottom,270
J1,79.7814mm,69.6976mm,Bottom,90
J2,121.2145mm,68.3982mm,Bottom,270
L3,112.4966mm,111.7466mm,Bottom,270
L4,100.4920mm,123.4186mm,Top,180
Q1,86.0080mm,113.5380mm,Bottom,270
Q2,86.0080mm,118.9128mm,Bottom,90
Q3,119.4816mm,112.0584mm,Bottom,90
Q4,110.4451mm,105.6028mm,Bottom,180
Q5,110.4451mm,100.4570mm,Bottom,90
Q6,113.9026mm,91.8666mm,Bottom,180
Q7,120.7356mm,91.8764mm,Bottom,270
Q8,76.4794mm,104.9528mm,Bottom,270
R1,113.8428mm,124.3388mm,Bottom,270
R2,87.0552mm,85.8948mm,Bottom,90
R3,83.6676mm,117.1348mm,Bottom,270
R4,89.2429mm,85.1328mm,Bottom,180
R5,117.2476mm,92.8416mm,Bottom,180
R6,92.0747mm,97.6364mm,Bottom,180
R7,115.9907mm,123.8308mm,Bottom,270
R8,115.9907mm,121.1442mm,Bottom,270
R9,121.3866mm,106.6546mm,Bottom,90
R10,91.4400mm,95.5826mm,Bottom,270
R11,92.7100mm,92.6258mm,Bottom,90
R12,117.2476mm,90.8916mm,Bottom,0
R13,91.3779mm,92.6258mm,Bottom,90
R14,116.0272mm,100.5586mm,Bottom,180
R15,113.3094mm,101.3206mm,Bottom,90
R16,110.4451mm,103.0732mm,Bottom,180
R17,97.6376mm,101.4564mm,Bottom,90
R18,110.4451mm,97.9678mm,Bottom,0
R19,85.6822mm,101.5746mm,Bottom,270
R20,85.6822mm,104.2924mm,Bottom,90
R21,85.6822mm,107.0229mm,Bottom,90
R22,90.8836mm,109.4330mm,Bottom,0
R23,105.6386mm,88.3666mm,Bottom,0
R24,124.4092mm,92.8264mm,Bottom,0
R25,98.3996mm,92.8988mm,Bottom,270
R26,124.4092mm,90.9264mm,Bottom,0
R27,105.6386mm,89.7128mm,Bottom,180
R28,116.4856mm,86.6394mm,Bottom,180
R29,115.2212mm,76.5556mm,Bottom,0
R30,115.2212mm,77.9272mm,Bottom,0
R31,110.4646mm,71.4743mm,Bottom,270
R32,92.4052mm,70.6120mm,Bottom,90
R33,90.9730mm,70.6120mm,Bottom,90
R34,93.8374mm,70.6120mm,Bottom,90
R35,109.1946mm,72.9983mm,Bottom,270
R36,107.7722mm,72.9983mm,Bottom,270
R37,90.0049mm,92.6258mm,Bottom,90
R38,80.3275mm,93.9154mm,Bottom,180
R39,80.3275mm,92.6454mm,Bottom,180
R40,76.5048mm,97.3952mm,Bottom,90
R41,76.5048mm,94.6774mm,Bottom,90
R42,80.3275mm,91.3754mm,Bottom,180
R43,78.0288mm,97.3952mm,Bottom,90
R44,78.0288mm,94.6774mm,Bottom,90
R45,80.3275mm,90.1054mm,Bottom,180
