Altium Designer Pick and Place Locations
D:\FAR Vision\stelon-qiwirelesscharger\Design-Files\15W-Receiver\Project Outputs for 15W-Receiver\Pick Place for Receiver-board.csv

========================================================================================================================
File Design Information:

Date:       22/10/25
Time:       02:38
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"C1","BottomLayer","90.8836mm","120.8336mm","0","90.8836mm","120.8336mm","89.6136mm","120.8336mm"
"C2","BottomLayer","90.8836mm","118.5730mm","0","90.8836mm","118.5730mm","89.6136mm","118.5730mm"
"C3","BottomLayer","90.8836mm","116.2616mm","0","90.8836mm","116.2616mm","89.6136mm","116.2616mm"
"C4","BottomLayer","91.1376mm","112.8536mm","0","91.1376mm","112.8536mm","90.1216mm","112.8536mm"
"C5","BottomLayer","97.9678mm","115.0366mm","90","97.9678mm","115.0366mm","97.9678mm","114.0206mm"
"C6","BottomLayer","105.2846mm","95.1548mm","0","105.2846mm","95.1548mm","104.5226mm","95.1548mm"
"C7","BottomLayer","106.4526mm","119.1122mm","90","106.4526mm","119.1122mm","106.4526mm","117.8422mm"
"C8","BottomLayer","110.3896mm","119.1122mm","90","110.3896mm","119.1122mm","110.3896mm","117.8422mm"
"C9","BottomLayer","110.3896mm","124.3388mm","270","110.3896mm","124.3388mm","110.3896mm","125.6088mm"
"C10","BottomLayer","92.0747mm","98.9572mm","180","92.0747mm","98.9572mm","92.8367mm","98.9572mm"
"C11","BottomLayer","106.4526mm","124.3388mm","270","106.4526mm","124.3388mm","106.4526mm","125.6088mm"
"C12","BottomLayer","117.5802mm","123.8308mm","270","117.5802mm","123.8308mm","117.5802mm","124.5928mm"
"C13","BottomLayer","92.7100mm","95.5826mm","270","92.7100mm","95.5826mm","92.7100mm","96.3446mm"
"C14","BottomLayer","80.5434mm","115.6122mm","180","80.5434mm","115.6122mm","81.5594mm","115.6122mm"
"C15","BottomLayer","80.5434mm","113.5167mm","180","80.5434mm","113.5167mm","81.3054mm","113.5167mm"
"C16","BottomLayer","80.5434mm","111.9292mm","180","80.5434mm","111.9292mm","81.3054mm","111.9292mm"
"C17","BottomLayer","116.3066mm","106.3498mm","180","116.3066mm","106.3498mm","117.5766mm","106.3498mm"
"C18","BottomLayer","116.3066mm","103.0732mm","180","116.3066mm","103.0732mm","117.5766mm","103.0732mm"
"C19","BottomLayer","116.0272mm","99.2124mm","180","116.0272mm","99.2124mm","116.7892mm","99.2124mm"
"C20","BottomLayer","83.5740mm","106.2609mm","0","83.5740mm","106.2609mm","82.8120mm","106.2609mm"
"C21","BottomLayer","104.6734mm","102.9970mm","270","104.6734mm","102.9970mm","104.6734mm","103.7590mm"
"C22","BottomLayer","80.5434mm","110.2782mm","180","80.5434mm","110.2782mm","81.3054mm","110.2782mm"
"C23","BottomLayer","119.7356mm","81.6610mm","90","119.7356mm","81.6610mm","119.7356mm","80.8990mm"
"C24","BottomLayer","100.5586mm","95.1548mm","0","100.5586mm","95.1548mm","99.7966mm","95.1548mm"
"C25","BottomLayer","101.0666mm","89.2683mm","0","101.0666mm","89.2683mm","100.3046mm","89.2683mm"
"C26","BottomLayer","108.5088mm","69.3984mm","0","108.5088mm","69.3984mm","107.7468mm","69.3984mm"
"C27","BottomLayer","94.9960mm","77.8740mm","270","94.9960mm","77.8740mm","94.9960mm","78.6360mm"
"C28","BottomLayer","82.7278mm","80.1116mm","270","82.7278mm","80.1116mm","82.7278mm","80.8736mm"
"C29","BottomLayer","78.2320mm","100.9396mm","180","78.2320mm","100.9396mm","79.2480mm","100.9396mm"
"D1","BottomLayer","95.2500mm","111.6330mm","270","95.2500mm","111.6330mm","95.2500mm","109.4330mm"
"D2","BottomLayer","95.2500mm","118.6336mm","270","95.2500mm","118.6336mm","95.2500mm","116.4336mm"
"D3","BottomLayer","100.6856mm","111.6330mm","270","100.6856mm","111.6330mm","100.6856mm","109.4330mm"
"D4","BottomLayer","100.6856mm","118.6336mm","270","100.6856mm","118.6336mm","100.6856mm","116.4336mm"
"D5","TopLayer","92.5174mm","67.3001mm","0","92.5174mm","67.3001mm","92.9424mm","67.7251mm"
"D6","BottomLayer","123.1646mm","106.6546mm","270","123.1646mm","106.6546mm","123.1646mm","105.4546mm"
